% Ascii stylus data file created by FastSCAN V4.0.7 on Tue May 18 11:57:05 2021
% raw surface, 66 visible points, bounding box reference
% x y z dx dy dz
  267.6501  808.3544 -1025.6530    0.1619   -0.8768   -0.4528
  280.4445  826.3574 -1031.9229    0.1770   -0.8375   -0.5170
  299.2401  834.9559 -1037.3638    0.1277   -0.8526   -0.5067
  313.6041  811.5718 -1036.9777   -0.4044   -0.7053   -0.5822
  310.4673  792.1761 -1034.2130   -0.4043   -0.7209   -0.5628
  241.4480  811.1459 -1073.0914    0.2498   -0.8806   -0.4026
  276.5023  830.2324 -1075.9775    0.3248   -0.8320   -0.4497
  296.4621  854.6369 -1072.3024    0.3450   -0.8038   -0.4845
  317.9918  827.3405 -1078.6992   -0.1707   -0.7486   -0.6406
  341.3615  813.7069 -1084.0460   -0.0490   -0.7776   -0.6269
  248.6331  874.3885 -1098.0967   -0.1964   -0.6170   -0.7621
  266.9738  860.4937 -1110.5756   -0.1189   -0.6445   -0.7553
  288.8751  873.0264 -1106.7660   -0.0096   -0.6363   -0.7714
  319.8374  877.2533 -1107.7141    0.1071   -0.6344   -0.7655
  338.3355  887.2594 -1111.2021    0.1470   -0.6261   -0.7657
  250.4508  892.6854 -1122.2429   -0.1791   -0.6501   -0.7384
  264.5846  879.3062 -1133.1167   -0.1249   -0.6488   -0.7506
  285.5862  886.4566 -1134.5325    0.0113   -0.6224   -0.7826
  299.8148  900.8920 -1130.7809    0.0931   -0.6091   -0.7876
  310.4817  925.7086 -1132.4851    0.1479   -0.6120   -0.7769
  232.2932  892.7867 -1162.1909   -0.1094   -0.7620   -0.6382
  259.7256  892.0055 -1166.2673    0.0735   -0.7204   -0.6896
  281.1764  902.7317 -1166.6440    0.2443   -0.6464   -0.7228
  291.9400  917.2138 -1165.1152    0.3612   -0.5816   -0.7289
  292.3087  940.4918 -1161.4034    0.3250   -0.6016   -0.7297
  235.4296  893.4487 -1215.9689    0.1924   -0.7496   -0.6333
  267.0382  911.2908 -1207.6663    0.3582   -0.6787   -0.6411
  280.3844  926.0079 -1202.6931    0.4201   -0.6474   -0.6359
  298.4775  931.0884 -1202.9961    0.4868   -0.6257   -0.6095
  306.8280  952.1955 -1200.0554    0.5610   -0.6197   -0.5489
  231.0414  936.3612 -1234.5188    0.1472   -0.7040   -0.6948
  254.2682  936.7618 -1239.1165    0.2576   -0.6344   -0.7288
  271.2985  953.9681 -1233.0830    0.3830   -0.6029   -0.6998
  299.7978  939.2695 -1239.2043    0.3929   -0.6770   -0.6223
  320.6985  951.6248 -1234.0410    0.4672   -0.6466   -0.6031
  239.0514 1001.8831 -1255.3162   -0.1542   -0.3607   -0.9199
  255.0206  983.4034 -1271.3893   -0.0198   -0.4807   -0.8767
  268.4491  986.6111 -1265.7111    0.0376   -0.4715   -0.8811
  289.8644  984.4941 -1271.6357    0.0860   -0.4892   -0.8679
  316.5356  984.7780 -1275.5901    0.1253   -0.4957   -0.8594
  235.3558 1041.1615 -1288.4832   -0.1499   -0.5431   -0.8262
  250.6112 1015.3297 -1299.4346   -0.1003   -0.5244   -0.8456
  266.6669 1017.8856 -1295.5164   -0.0027   -0.5195   -0.8545
  282.8035 1027.2319 -1295.8203    0.0730   -0.5100   -0.8571
  306.4744 1034.3704 -1282.0590    0.1614   -0.5200   -0.8388
  225.4348 1059.3180 -1325.6572   -0.1448   -0.5484   -0.8236
  251.3364 1048.6937 -1330.0664   -0.0170   -0.5394   -0.8419
  262.2559 1048.9197 -1322.4515    0.0570   -0.5360   -0.8423
  275.2472 1061.3943 -1315.9758    0.1277   -0.4941   -0.8600
  290.7225 1075.5392 -1304.0880    0.2115   -0.4854   -0.8483
  226.7613 1075.7306 -1365.9480    0.0609   -0.5802   -0.8122
  254.0034 1081.8690 -1352.8257    0.1873   -0.5493   -0.8144
  258.9195 1077.7542 -1355.0363    0.1967   -0.5523   -0.8101
  268.5247 1088.3007 -1337.6217    0.2447   -0.5374   -0.8070
  274.5335 1099.9037 -1325.0887    0.2663   -0.5447   -0.7952
  249.4834 1099.1709 -1408.5200    0.3010   -0.6093   -0.7336
  256.5525 1107.1130 -1402.2966    0.3325   -0.5980   -0.7293
  261.5163 1117.6809 -1389.8961    0.3681   -0.5797   -0.7270
  269.2614 1127.6284 -1385.6003    0.3952   -0.5787   -0.7134
  280.5016 1135.9536 -1376.2140    0.4188   -0.5758   -0.7022
  265.3898 1132.9828 -1432.0757    0.7498   -0.3700   -0.5486
  268.7658 1134.6211 -1427.1401    0.7521   -0.3694   -0.5459
  262.4532 1147.4637 -1417.4241    0.7545   -0.3490   -0.5559
  269.5163 1147.8451 -1411.9875    0.7630   -0.3524   -0.5419
  279.2809 1157.4723 -1404.5719    0.7778   -0.3442   -0.5259
  268.9854 1197.6387 -1463.2258    0.7322   -0.2689   -0.6258
